"ID","Модуль","Функция","Статус","Уровень готовности (%)","Backend","Frontend","БД","Тесты","Доказательства","Проблемы","Что добавить","Приоритет"
"P1","P. Диагностика установки","Инструмент проверки установки трекера/бота/интеграций","Реализовано частично","40","channel.controller.ts:35-37 GET :id/bot-status; health.controller.ts; integrations *.controller.ts test-event endpoints","Разрозненно по страницам (channels/[id], integrations/*)","—","—","Диагностика существует ПОФРАГМЕНТНО (bot права, test-event на каждой платформе отдельно), но нет единого dashboard 'health check', который бы прогонял весь путь клик→Telegram→конверсия и объяснял, что не так","Нет цельного самотеста, требуемого ТЗ","Единая страница /diagnostics, агрегирующая все проверки с понятными инструкциями","P2"
"Q1","Q. Продвинутые конверсии","Задержка конверсии / условия (Super Goal)","Реализовано частично","40","Campaign.conversionDelayMinutes (простое число минут, единственное условие)","CreateCampaignForm.tsx (поле числового ввода)","Campaign.conversionDelayMinutes/targetEvent(enum)","—","TargetEvent enum: SUBSCRIBE/RETAINED_D1/RETAINED_D7/LEAD_MAGNET_CLAIMED — это фиксированный список целей, не визуальный конструктор правил","Нет составных правил (И/ИЛИ), нет визуального редактора — только 4 жёстко закодированных сценария","Правила as code сейчас: расширить до конструктора условий","P2"
"R1","R. Собственные боты клиента","Подключение bot token клиента, приём внешних апдейтов, deep goals API","Не реализовано","0","TelegramBotConnection модель существует (schema.prisma:129-139: botUsername/isActive/connectedAt), но НЕТ endpoint для сохранения токена клиента, НЕТ webhook-роутинга по multiple bots, НЕТ deep-goal API","apps/web/src/app/settings/telegram/page.tsx — только привязка ЛИЧНОГО telegram-аккаунта пользователя к получению отчётов (bind_ token), не подключение бота клиента","TelegramBotConnection — не связан ни с одним сервисом (grep 'telegramBotConnection' — только в schema.prisma и prisma client, ни один .service.ts его не использует)","—","—","Заявленная в ТЗ (TZ-TELEGRAM-UA.md:74 'API для чужих ботів клієнта — Середній') функциональность отсутствует полностью, хотя таблица в БД заведена — классическая 'заготовка'","Полный модуль: сохранение токена (encrypt), per-bot webhook route, deep goal REST API, HMAC подпись, rate limit, OpenAPI","P1"
"T1","T. Интеграции с CRM/бот-конструкторами","SendPulse/SmartSender/GetCourse/SaleBot/KeyCRM/Zapier/Make/n8n","Не реализовано","0","grep по всем ключевым словам интеграций — 0 совпадений во всём репозитории","—","—","—","—","Ни один из перечисленных партнёров не подключён — весь модуль T отсутствует","Универсальный outbound webhook (событие+HMAC подпись+retry) как минимальный шаг, затем нативные коннекторы под приоритетные UA-платформы (SendPulse, KeyCRM, Make)","P1"
"U1","U. Ежедневные Telegram-отчёты","Автоматический ежедневный дайджест в Telegram","Реализовано","70","telegram/bot-report.scheduler.ts (cron '0 7 * * *'); bot-report.processor.ts; bot-admin.service.ts:123-186,342-360","—","—","—","Реальный BullMQ repeatable job, реальная отправка через bot.api.sendMessage всем пользователям с telegramId","Время (7:00) и timezone не настраиваются пользователем/workspace (глобальный cron, без per-workspace TZ); нет сравнения с прошлой неделей, нет anomaly detection; рассылается ВСЕМ линкованным пользователям без выбора получателей/различия ролей","Per-workspace расписание+TZ, week-over-week сравнение, anomaly alerts, выбор получателей","P2"
"U2","U. Ежедневные Telegram-отчёты","Email-дайджест","Не реализовано","0","—","—","—","—","TZ-TELEGRAM-UA.md:76 сам помечает 'Email щоденний digest — Низький пріоритет' как нереализованное","—","—","P3"
"V1","V. Карточка подписчика","Досье подписчика (ID, источник, история, retention, лид-магниты, конверсии)","Реализовано","80","dashboard.service.ts:350-432 getSubscriberDossier; dashboard.controller.ts:54-63","apps/web/src/app/subscribers/[id]/page.tsx","агрегирует SubscriberProfile+MembershipEvent+Attribution+UnsubscribeEvent+LeadMagnetClaim+ConversionEvent","—","Богатый агрегированный объект: attribution reason/confidence/UTM/creative/postNumber, retention D1/D7/D30, botStarted/OptedOut, lead magnets, conversions","Нет поиска по телефону/email/CRM ID (только по id/username через Telegram-бот команду, не в веб-кабинете); нет объединения дублирующихся профилей одного человека (несколько каналов = несколько независимых SubscriberProfile без связи)","Global person merge across channels, web-search by username/CRM ID","P2"
"W1","W. Аналитика/Dashboard","Overview (клики, подписки, CR, retention, delivery stats)","Реализовано","80","dashboard.service.ts:15-68 getOverview","apps/web/src/app/dashboard/page.tsx","—","—","—","Нет сравнения периодов (period-over-period), нет сохранённых представлений/фильтров","Period comparison, saved views","P2"
"W2","W. Аналитика/Dashboard","Отчёты по кампаниям / tracking-links / источникам","Реализовано","80","dashboard.service.ts:83-164","reports/sources, reports/subscriptions, campaigns/[id]","—","—","—","Нет фильтров по дате в UI отчётов кроме daily-digest; нет пагинации (жёсткий take:100/5000)","Date range filters, cursor pagination","P2"
"W3","W. Аналитика/Dashboard","Экспорт CSV/XLSX/Google Sheets/scheduled reports","Реализовано частично","25","dashboard.service.ts:434-454 exportSubscribersCsv; dashboard.controller.ts:42-52","apps/web/src/app/api/dashboard/subscribers/export.csv/route.ts","—","—","Только CSV подписчиков; НЕТ XLSX, НЕТ Google Sheets, НЕТ scheduled email/telegram reports (кроме bot daily digest)","—","XLSX export, Google Sheets push, scheduled report subscriptions","P2"
"W4","W. Аналитика/Dashboard","Retention (D1/D7/D30) отчёт/curve/когорты","Реализовано частично","55","dashboard.service.ts:46-68 getRetentionStats (только агрегат %), retention.service.ts (реальные проверки через Telegram API)","apps/web/src/app/reports/retention/page.tsx","SubscriberProfile.retainedD1/D7/D30","packages/shared/src/__tests__/retention.test.ts","Реальная проверка через getChatMember, не оценка","Нет retention curve по дням, нет когортного отчёта (по неделям/месяцам подключения), нет медианного/среднего срока жизни","Cohort report, LTV curve, median lifetime","P2"
"X1","X. Сквозная аналитика (ROMI/LTV)","Импорт расходов, связь клик→лид→сделка→оплата, CPL/CAC/ROAS/LTV","Не реализовано","0","Campaign.spendAmount — единственное ручное поле суммы расхода (не импорт, не по датам); нет модели Deal/Payment/Revenue","—","нет таблиц для CRM-сделок/платежей/повторных покупок","—","dashboard.service.ts:105-118 использует campaign.spendAmount как статическое число в отчёте кампаний, без расчёта cost-per-subscriber/ROAS/LTV","Весь модуль сквозной аналитики (что для агентства — ключевая ценность) отсутствует","Revenue/Deal model, интеграция с оплатами, CPL/CAC/ROAS/LTV расчёты","P1"
"Y1","Y. API отчётности","Публичное REST API для клиентов (projects/events/clicks/reports с пагинацией, scopes, OpenAPI)","Не реализовано","10","Внутренние REST endpoints существуют (dashboard/*, campaigns, tracking-links), но требуют JWT сессии пользователя, а НЕ API-ключа; нет cursor pagination/updated_after/scopes/OpenAPI","—","ApiKey модель есть (не используется, см. A10)","—","Все контроллеры используют @RequiresWorkspace()+JWT — нет отдельного публичного API слоя с версионированием","—","Публичный /api/v1/* слой с ApiKey guard, OpenAPI спека, пагинация","P2"
"Z1","Z. Лид-магниты","Выдача материала через общего бота с проверкой подписки и согласием","Реализовано","75","lead-magnet.service.ts (весь файл); telegram.service.ts:82-89,196-200","apps/web/src/app/lead-magnets/page.tsx, CreateLeadMagnetForm.tsx","LeadMagnet, LeadMagnetClaim","—","Реальная проверка getChatMember перед выдачей, дедуп повторной выдачи (existingClaim), consent keyword 'ПОГОДЖУЮСЬ'","Только ссылка (contentUrl) как материал — нет встроенной отправки изображения/видео/документа/нескольких сообщений; один и тот же бот для ВСЕХ workspace (см. C1) — нет брендированного бота; нет редактирования/удаления lead magnet (controller только GET/POST, см. lead-magnet.controller.ts:28-45); нет кнопки под постом канала — только deep-link /start","Update/delete endpoints, медиа-сообщения (фото/видео/документ), кнопка под постом (requires Bot API editMessageReplyMarkup на существующий пост)","P2"
"AA1","AA. Цепочки сообщений","Drip-цепочки с задержками/ветвлением/A-B тестами","Не реализовано","0","—","—","—","—","grep 'chain|sequence|drip' по apps/api — 0 совпадений, относящихся к message chains","Модуль полностью отсутствует","—","P2"
"AB1","AB. Рассылки (broadcast)","Массовая рассылка по сегментам с защитой от дублей/rate limit","Заготовка","15","нет MailingProcessor/сервиса отправки — только Prisma-модели Mailing/MailingRecipient со статусами (DRAFT..SENT)","нет страницы /mailings в apps/web/src/app","Mailing, MailingRecipient (schema.prisma:634-672)","—","docs/REVERSE-ENGINEERING.md:234 сам подтверждает: 'Рассылки (mailings) — Только таблицы в БД, кода нет'","Полностью нерабочая функция: есть таблицы, нет отправки, нет UI создания рассылки","MailingService+Processor (BullMQ, Telegram rate-limit aware), сегментация аудитории, UI","P1"
"AC1","AC. Аналитика лид-магнитов","Клики/выдачи/конверсии/retention по лид-магниту","Реализовано частично","40","leadMagnet._count.claims в lead-magnet.service.ts:58-67 list()","apps/web/src/app/lead-magnets/page.tsx","—","—","Только количество claims на список — нет отдельного детального отчёта (время до подписки, retention лид-магнитных подписчиков отдельно, доход)","—","Отдельный дашборд по лид-магниту","P2"
"AD1","AD. Исходящие ссылки с проверкой подписки","Кнопка/ссылка с gate-проверкой подписки → редирект (сайт/бот/канал/оплата)","Не реализовано","0","DestinationMode.EXTERNAL_URL существует на TrackingLink, но это редирект СРАЗУ после клика по рекламе (до подписки), а не gate ПОСЛЕ проверки членства в канале","—","—","—","Нет отдельной модели/эндпоинта 'gated link' с проверкой подписки перед выдачей внешнего URL","Модуль отсутствует как отдельная функция (частично похожая логика используется только в lead-magnet consent-flow, не как переиспользуемый building block)","Отдельный GatedLink модуль: subscription_check_failed/completed/external_redirect_completed события","P2"
"AE1","AE. Конструктор лендингов","Визуальный конструктор лендинга (блоки, темы, домены, SEO, A/B)","Реализовано частично","25","tracking.service.ts buildPageContext (заголовок/описание/username — фиксированный шаблон, НЕ конструктор)","apps/api/src/tracking/tracking-html.ts — статичный серверный HTML-шаблон (renderLandingPage/renderShortlinkPage), один и тот же дизайн для всех","TrackingLink.landingTitle/landingDescription — только 2 текстовых поля","—","Meta Pixel/Google Tag/TikTok Pixel НЕ инжектятся в лендинг (см. L2); нет блочного редактора, тем, custom domain, мультиязычности, A/B","'Лендинг' — это по сути 1 статическая HTML-страница с 2 настраиваемыми текстовыми полями, а не конструктор","Полноценный блочный редактор — крупная новая фича, а не доработка","P2"
"AF1","AF. Биллинг","Тарифы, оплата, UAH/LiqPay/WayForPay/Fondy, автопродление","Не реализовано","0","grep 'billing|invoice|liqpay|wayforpay|fondy|stripe|price' — 0 совпадений во всём репозитории","—","Нет моделей Plan/Subscription/Invoice/Payment в schema.prisma","—","—","Продукт технически бесплатный/безлимитный для любого числа workspace — нет механизма монетизации вообще","Полный биллинг-модуль: Plan/Subscription/Payment модели, LiqPay/WayForPay интеграция, ФОП/ТОВ реквизиты, автопродление, grace period","P1"
"AG1","AG. Безопасность/ПДн","Шифрование секретов (bot token/access tokens) at rest","Реализовано","80","crypto.service.ts:14-30 (AES-256-GCM, scrypt-derived key); все *.service.ts интеграций хранят *Enc поля","—","MetaIntegration.accessTokenEnc, GoogleAdsIntegration.oauthCredentialsEnc, TikTokIntegration.accessTokenEnc, GA4Integration.apiSecretEnc","—","—","TELEGRAM_BOT_TOKEN хранится в открытом виде в env (не в БД, что нормально), но нет secrets vault (Vault/KMS) — только env vars; ENCRYPTION_KEY имеет небезопасный дефолт-фоллбэк в коде ('dev-key-change-in-production!!', crypto.service.ts:10) если переменная не задана — риск при неправильном деплое","Fail-fast (throw) если ENCRYPTION_KEY/JWT_SECRET/HASH_SALT не заданы в production, вместо тихого дефолта","P0"
"AG2","AG. Безопасность/ПДн","Webhook signature / replay protection","Реализовано","80","telegram.service.ts:462-468 getWebhookHandler — secretToken из grammY webhookCallback","—","—","—","TELEGRAM_WEBHOOK_SECRET проверяется библиотекой grammY","Секрет опционален (`secretToken: secret || undefined`, строка 466) — если TELEGRAM_WEBHOOK_SECRET не задан, webhook принимает ЛЮБОЙ POST без проверки подписи","Сделать TELEGRAM_WEBHOOK_SECRET обязательным в production (fail-fast)","P0"
"AG3","AG. Безопасность/ПДн","Rate limiting (auth, tracking, webhook)","Не реализовано","0","См. K1","—","—","—","—","—","—","P0"
"AG4","AG. Безопасность/ПДн","Удаление данных по запросу (data deletion)","Реализовано частично","30","privacy.controller.ts:18-34 — создаёт DataDeletionRequest, НЕТ обработчика/воркера, который бы реально удалял данные","apps/web/src/app/settings/privacy/page.tsx (не читан детально, но backend подтверждает отсутствие обработки)","DataDeletionRequest.status (PENDING/IN_PROGRESS/COMPLETED/REJECTED) — статус никогда автоматически не меняется","—","docs/REVERSE-ENGINEERING.md:233 подтверждает: 'Удаление данных по запросу — Заявка создаётся, авто-очистки нет'","Заявка создаётся, но реального удаления/анонимизации ПДн нет — GDPR/UA-закон формально не соблюдается end-to-end","Worker обработки заявок: анонимизация/удаление SubscriberProfile+ClickEvent+ConversionEvent по telegramUserId/email","P1"
"AG5","AG. Безопасность/ПДн","CORS/CSP/секреты в логах","Реализовано частично","60","main.ts:30-34 enableCors(origin=resolveFrontendUrl()) — CORS ограничен одним origin (не wildcard, хорошо); НЕТ явного CSP-заголовка (Fastify без helmet)","—","—","—","grep '@fastify/helmet|helmet' — 0 совпадений","Нет CSP/security headers (X-Frame-Options, etc.)","@fastify/helmet","P2"
"AH1","AH. Административная панель","Общая супер-админ панель (пользователи, тарифы, очереди, fraud, impersonation)","Не реализовано","10","Есть только agency.controller.ts (список/создание/удаление workspace для agency-admin) — это НЕ полноценная админка платформы","apps/web/src/app/agency/clients/page.tsx","—","—","Нет вида на все workspaces платформы (только те, где agency-admin состоит ADMIN), нет управления очередями/tarifs/fraud/impersonation","—","Полноценная super-admin панель — требует биллинга/fraud/queue-модулей, которых пока нет","P2"
"AI1","AI. Очереди и отказоустойчивость","BullMQ очереди (Telegram-независимая доставка конверсий/retention/отчётов)","Реализовано частично","55","conversion.module.ts, retention.processor.ts, bot-report.processor.ts — все на BullMQ+Redis","—","—","—","Критический сценарий 'если аналитика недоступна, пользователь всё равно попадает в Telegram' — ВЫПОЛНЯЕТСЯ: редирект в tracking.controller.ts происходит независимо от постановки в очередь (клик уже записан до ответа), очередь асинхронна и не блокирует редирект","См. L3 — нет retry/backoff/DLQ ни в одной очереди проекта (conversion, retention, bot-report все используют queue.add без attempts/backoff)","defaultJobOptions на всех очередях, DLQ, alerting on repeated failures","P0"
"AJ1","AJ. Тесты","Unit-тесты бизнес-логики (pure functions)","Реализовано частично","40","packages/shared/src/__tests__/*.test.ts (6 файлов, 370 строк): attribution, google-ads, tiktok, meta-capi, retention, link-mode","—","—","да (для чистых функций)","vitest, покрывают ядро атрибуции и eligibility-логику интеграций","—","—","P2"
"AJ2","AJ. Тесты","Integration/API/webhook/e2e/security/load тесты backend (apps/api)","Не реализовано","0","find apps/api -name '*.spec.ts' -o -name '*.test.ts' → 0 файлов","find apps/web -name '*.test.*' → 0 файлов","—","отсутствует полностью","apps/api/package.json:8 'test': 'vitest run' — команда существует, но НЕТ ни одного тестового файла в apps/api/src, apps/api/test/ директории не существует","Ни один controller/service/guard/webhook-обработчик не покрыт тестом; RBAC-баг (A5), resubscribe-баг (D1), retry-отсутствие (L3) — всё это не поймано бы тестами, потому что тестов на эти пути нет","Webhook idempotency tests, RBAC permission tests, attribution e2e, retry/DLQ tests, billing tests (когда появится billing)","P0"
